Release Date	Time	Actual	Forecast	Previous
Aug 27, 2024 (Sep)	02:00	-22.0	-18.3	-18.6
Jul 24, 2024 (Aug)	02:00	-18.4	-21.1	-21.6
Jun 26, 2024 (Jul)	02:00	-21.8	-19.4	-21.0
May 29, 2024 (Jun)	02:00	-20.9	-22.5	-24.0
Apr 25, 2024 (May)	02:00	-24.2	-25.9	-27.3
Mar 26, 2024 (Apr)	03:00	-27.4	-27.9	-28.8
Feb 27, 2024 (Mar)	03:00	-29.0	-29.0	-29.6
Jan 26, 2024 (Feb)	03:00	-29.7	-24.5	-25.4
Dec 20, 2023 (Jan)	03:00	-25.1	-27.0	-27.6
Nov 28, 2023 (Dec)	03:00	-27.8	-27.9	-28.3
Oct 24, 2023 (Nov)	02:00	-28.1	-26.6	-26.7
Sep 27, 2023 (Oct)	02:00	-26.5	-26.0	-25.6
Aug 29, 2023 (Sep)	02:00	-25.5	-24.3	-24.6
Jul 27, 2023 (Aug)	02:00	-24.4	-24.7	-25.2
Jun 28, 2023 (Jul)	02:00	-25.4	-23.0	-24.4
May 25, 2023 (Jun)	02:00	-24.2	-24.0	-25.8
Apr 26, 2023 (May)	02:00	-25.7	-27.9	-29.3
Mar 29, 2023 (Apr)	02:00	-29.5	-29.2	-30.6
Feb 24, 2023 (Mar)	03:00	-30.5	-30.4	-33.8
Jan 24, 2023 (Feb)	03:00	-33.9	-33.0	-37.6
Dec 21, 2022 (Jan)	03:00	-37.8	-38.0	-40.1
Nov 25, 2022 (Dec)	03:00	-40.2	-39.6	-41.9
Oct 27, 2022 (Nov)	02:00	-41.9	-41.9	-42.8
Sep 28, 2022 (Oct)	02:00	-42.5	-39.0	-36.8
Aug 26, 2022 (Sep)	02:00	-36.5	-31.8	-30.9
Jul 27, 2022 (Aug)	02:00	-30.6	-28.9	-27.7
Jun 28, 2022 (Jul)	02:00	-27.4	-27.6	-26.2
May 25, 2022 (Jun)	02:00	-26.0	-26.0	-26.6
Apr 27, 2022 (May)	02:00	-26.5	-16.0	-15.7
