national_inv,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,ppap_risk,went_on_backorder
0.0,0.0,3.0,4.0,6.0,1.0,1.0,3.0,3.0,no,yes
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,no
605.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,90.0,no,no
18.0,0.0,37.0,72.0,117.0,8.0,30.0,31.0,31.0,no,no
0.0,0.0,12.0,18.0,18.0,0.0,0.0,0.0,0.0,yes,yes
17.0,0.0,0.0,9.0,9.0,2.0,8.0,22.0,31.0,no,yes
0.0,0.0,50.0,50.0,71.0,8.0,22.0,33.0,53.0,no,yes
443.0,401.0,710.0,1360.0,2140.0,281.0,925.0,1599.0,2436.0,no,no
53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
4.0,5.0,5.0,11.0,11.0,1.0,3.0,7.0,13.0,no,no
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,no,yes
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
2.0,0.0,17.0,32.0,47.0,7.0,21.0,38.0,52.0,no,yes
0.0,0.0,24.0,36.0,48.0,0.0,5.0,14.0,23.0,no,yes
0.0,0.0,245.0,426.0,610.0,0.0,0.0,0.0,0.0,no,yes
6.0,0.0,0.0,2.0,2.0,2.0,10.0,16.0,24.0,no,no
5.0,0.0,0.0,1.0,3.0,1.0,2.0,4.0,7.0,no,no
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
35.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,10.0,no,no
48.0,0.0,54.0,79.0,79.0,33.0,58.0,82.0,107.0,no,yes
241.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,13.0,no,no
479.0,31.0,425.0,789.0,1430.0,132.0,464.0,1334.0,1768.0,no,no
9.0,0.0,6.0,6.0,10.0,1.0,8.0,17.0,23.0,no,yes
398.0,28.0,400.0,800.0,1200.0,199.0,540.0,866.0,1297.0,no,no
0.0,0.0,74.0,127.0,151.0,0.0,0.0,0.0,0.0,yes,yes
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
0.0,0.0,16.0,28.0,32.0,1.0,1.0,1.0,1.0,no,yes
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
1.0,0.0,3.0,12.0,15.0,2.0,5.0,12.0,18.0,no,yes
8.0,0.0,6.0,12.0,14.0,5.0,14.0,20.0,25.0,no,yes
20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,no,no
4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,no,no
0.0,0.0,17.0,22.0,32.0,14.0,24.0,39.0,45.0,yes,yes
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
5.0,0.0,1.0,5.0,7.0,7.0,21.0,40.0,54.0,no,no
0.0,0.0,3.0,4.0,6.0,0.0,2.0,3.0,4.0,no,yes
2.0,0.0,12.0,24.0,30.0,3.0,12.0,16.0,27.0,no,yes
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
19.0,4.0,8.0,20.0,28.0,1.0,10.0,22.0,39.0,no,no
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,no,yes
696.0,413.0,839.0,1469.0,2204.0,179.0,598.0,1143.0,1835.0,no,no
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,no,no
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
6.0,0.0,110.0,146.0,206.0,12.0,52.0,103.0,167.0,no,yes
-5.0,0.0,0.0,0.0,0.0,4.0,11.0,16.0,26.0,yes,yes
51.0,0.0,80.0,120.0,160.0,19.0,76.0,111.0,149.0,no,no
0.0,0.0,5.0,8.0,11.0,0.0,1.0,7.0,7.0,no,yes
0.0,0.0,18.0,28.0,40.0,8.0,17.0,24.0,51.0,no,yes
0.0,0.0,14.0,23.0,32.0,3.0,7.0,12.0,20.0,no,yes
-7.0,0.0,10.0,10.0,11.0,21.0,21.0,23.0,24.0,yes,yes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,no
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
2.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,4.0,no,yes
2.0,0.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,no,no
20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,no,no
0.0,0.0,4.0,5.0,7.0,3.0,3.0,3.0,5.0,no,yes
115.0,0.0,0.0,0.0,0.0,14.0,33.0,81.0,121.0,yes,no
5.0,1.0,11.0,23.0,31.0,5.0,15.0,22.0,40.0,no,no
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,no
0.0,0.0,4.0,5.0,7.0,3.0,3.0,6.0,7.0,no,yes
581.0,4.0,0.0,0.0,0.0,19.0,103.0,212.0,344.0,no,no
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
