customerID,tenure,Contract,PaymentMethod,MonthlyCharges,Churn
4873-ILOLJ,24,Month-to-month,Electronic check,90.35,Yes
1597-FZREH,2,Month-to-month,Electronic check,76.4,Yes
3677-TNKIO,14,Month-to-month,Credit card (automatic),71.0,Yes
4662-EKDPQ,2,Month-to-month,Bank transfer (automatic),62.05,Yes
5482-PLVPE,2,Month-to-month,Electronic check,24.35,Yes
7228-OMTPN,4,Month-to-month,Electronic check,88.45,Yes
6680-WKXRZ,3,Month-to-month,Bank transfer (automatic),74.4,Yes
9026-RNUJS,5,Month-to-month,Electronic check,50.35,Yes
9095-HFAFX,5,Month-to-month,Credit card (automatic),81.0,Yes
1907-UBQFC,10,Month-to-month,Electronic check,72.85,Yes
4786-UKSNZ,1,Month-to-month,Mailed check,20.2,Yes
3092-IGHWF,67,One year,Electronic check,87.4,Yes
2091-MJTFX,30,Month-to-month,Credit card (automatic),51.2,Yes
2725-KXXWT,1,Month-to-month,Electronic check,90.75,Yes
4785-QRJHC,46,One year,Bank transfer (automatic),59.9,Yes
2619-WFQWU,1,Month-to-month,Mailed check,70.15,Yes
6543-XRMYR,30,Month-to-month,Electronic check,99.7,Yes
8696-JKZNU,37,Month-to-month,Electronic check,76.25,Yes
8481-YYXWG,5,Month-to-month,Electronic check,89.35,Yes
1041-RXHRA,41,Month-to-month,Bank transfer (automatic),70.25,Yes
9412-ARGBX,48,Two year,Mailed check,95.5,Yes
2462-XIIJB,5,Month-to-month,Electronic check,92.5,Yes
6358-LYNGM,1,Month-to-month,Electronic check,74.9,Yes
5759-RCVCB,3,Month-to-month,Credit card (automatic),35.2,Yes
6352-TWCAU,35,Month-to-month,Electronic check,86.45,Yes
3908-BLSYF,6,Month-to-month,Electronic check,83.9,Yes
1363-TXLSL,1,Month-to-month,Electronic check,70.3,Yes
4910-GMJOT,1,Month-to-month,Electronic check,94.6,Yes
2237-ZFSMY,39,One year,Electronic check,95.55,Yes
2135-RXIHG,1,Month-to-month,Electronic check,45.65,Yes
4958-GZWIY,7,Month-to-month,Electronic check,48.7,Yes
2003-CKLOR,66,Month-to-month,Electronic check,99.5,Yes
5884-GCYMI,1,Month-to-month,Mailed check,69.4,Yes
8417-FMLZI,6,Month-to-month,Credit card (automatic),83.55,Yes
4701-AHWMW,55,Month-to-month,Bank transfer (automatic),54.55,Yes
0516-VRYBW,18,One year,Bank transfer (automatic),20.15,Yes
5294-CDGWY,51,One year,Electronic check,59.3,Yes
6179-GJPSO,43,Month-to-month,Credit card (automatic),108.15,Yes
5480-TBGPH,24,Month-to-month,Credit card (automatic),99.3,Yes
7508-MYBOG,14,Month-to-month,Electronic check,86.1,Yes
3249-ZPQRG,4,Month-to-month,Electronic check,78.45,Yes
2748-MYRVK,63,One year,Bank transfer (automatic),99.9,Yes
7979-CORPM,24,Month-to-month,Credit card (automatic),90.55,Yes
9369-XFEHK,33,Month-to-month,Bank transfer (automatic),80.6,Yes
7694-VLBWQ,67,One year,Electronic check,104.1,Yes
5440-FLBQG,69,Two year,Bank transfer (automatic),108.4,Yes
4446-BZKHU,61,Month-to-month,Electronic check,105.55,Yes
6275-YDUVO,2,Month-to-month,Mailed check,86.2,Yes
7240-ETPTR,9,Month-to-month,Electronic check,48.75,Yes
9863-JZAIC,35,Month-to-month,Mailed check,55.0,Yes
7486-KSRVI,43,One year,Electronic check,100.0,Yes
5590-YRFJT,20,Month-to-month,Electronic check,24.45,Yes
9269-CQOOL,3,Month-to-month,Credit card (automatic),54.7,Yes
4818-DRBQT,29,Month-to-month,Bank transfer (automatic),80.15,Yes
4695-WJZUE,2,Month-to-month,Electronic check,88.55,Yes
9897-KXHCM,3,Month-to-month,Electronic check,80.3,Yes
5828-AVIPD,19,One year,Electronic check,100.95,Yes
4143-OOBWZ,5,Month-to-month,Electronic check,81.3,Yes
0207-MDKNV,15,Month-to-month,Electronic check,105.1,Yes
9831-BPFRI,39,One year,Electronic check,89.55,Yes
2235-ZGKPT,4,Month-to-month,Mailed check,50.85,Yes
9530-EHPOH,11,Month-to-month,Electronic check,53.75,Yes
2057-ZBLPD,21,Month-to-month,Electronic check,86.5,Yes
5174-RNGBH,9,Month-to-month,Mailed check,66.25,Yes
7410-YTJIK,7,Month-to-month,Mailed check,75.45,Yes
0318-QUUOB,1,Month-to-month,Electronic check,80.55,Yes
7903-CMPEY,1,Month-to-month,Electronic check,80.3,Yes
9250-WYPLL,5,Month-to-month,Electronic check,75.55,Yes
0719-SYFRB,12,Month-to-month,Mailed check,61.65,Yes
9497-QCMMS,1,Month-to-month,Electronic check,93.55,Yes
0519-XUZJU,1,Month-to-month,Mailed check,70.75,Yes
3754-DXMRT,2,Month-to-month,Electronic check,44.15,Yes
7615-ESMYF,2,Month-to-month,Electronic check,44.6,Yes
0107-YHINA,1,Month-to-month,Electronic check,99.75,Yes
5519-NPHVG,12,Month-to-month,Electronic check,94.2,Yes
9600-NAXZN,43,Month-to-month,Electronic check,101.4,Yes
3643-AHCFP,7,Month-to-month,Bank transfer (automatic),95.6,Yes
3793-MMFUH,13,Month-to-month,Electronic check,95.05,Yes
5624-BQSSA,1,Month-to-month,Mailed check,20.95,Yes
5707-ORNDZ,9,Month-to-month,Electronic check,54.55,Yes
0345-HKJVM,6,Month-to-month,Electronic check,89.3,Yes
5154-VEKBL,9,Month-to-month,Mailed check,58.5,Yes
3663-MITLP,15,Month-to-month,Electronic check,101.25,Yes
2869-ADAWR,45,Month-to-month,Credit card (automatic),89.3,Yes
6000-APYLU,9,Month-to-month,Electronic check,80.8,Yes
1761-AEZZR,1,Month-to-month,Electronic check,79.55,Yes
2055-PDADH,3,Month-to-month,Electronic check,70.4,Yes
4484-CGXFK,3,Month-to-month,Electronic check,55.3,Yes
6331-EWIEB,20,Month-to-month,Electronic check,85.25,Yes
3571-RFHAR,65,Month-to-month,Electronic check,109.15,Yes
3097-NNSPB,2,Month-to-month,Credit card (automatic),49.05,Yes
9576-ANLXO,3,Month-to-month,Bank transfer (automatic),69.55,Yes
6221-AVQYL,2,Month-to-month,Credit card (automatic),73.25,Yes
4094-NSEDU,21,Month-to-month,Electronic check,94.25,Yes
1513-XNPPH,12,Month-to-month,Electronic check,89.4,Yes
8276-MQBYC,51,Month-to-month,Electronic check,97.8,Yes
9526-BIHHD,1,Month-to-month,Mailed check,29.7,Yes
2672-HUYVI,6,Month-to-month,Electronic check,91.1,Yes
9866-QEVEE,19,Month-to-month,Bank transfer (automatic),86.0,Yes
2834-JRTUA,71,Two year,Electronic check,108.05,Yes
9524-EGPJC,18,Month-to-month,Electronic check,90.1,Yes
6481-OGDOO,67,One year,Credit card (automatic),90.6,Yes
8818-XYFCQ,32,Month-to-month,Credit card (automatic),99.55,Yes
8182-PNAGI,12,Month-to-month,Bank transfer (automatic),50.25,Yes
3677-IYRBF,2,Month-to-month,Electronic check,30.4,Yes
1447-PJGGA,57,Two year,Electronic check,95.25,Yes
7927-AUXBZ,30,Month-to-month,Electronic check,85.15,Yes
9667-EQRXU,30,Month-to-month,Electronic check,40.3,Yes
7503-QQRVF,16,Month-to-month,Credit card (automatic),74.3,Yes
4505-EXZHB,6,Month-to-month,Electronic check,74.4,Yes
5383-MMTWC,8,Month-to-month,Electronic check,84.0,Yes
2856-HYAPG,1,Month-to-month,Electronic check,68.65,Yes
4541-RMRLG,7,Month-to-month,Electronic check,19.25,Yes
2506-TNFCO,1,Month-to-month,Electronic check,69.55,Yes
5364-XYIRR,51,Month-to-month,Electronic check,94.65,Yes
6087-MVHJH,16,Month-to-month,Electronic check,88.45,Yes
0679-IDSTG,1,Month-to-month,Electronic check,69.25,Yes
0897-FEGMU,11,Month-to-month,Electronic check,99.5,Yes
8305-VHZBZ,1,Month-to-month,Mailed check,20.2,Yes
5876-HZVZM,6,Month-to-month,Credit card (automatic),55.9,Yes
6289-CPNLD,33,One year,Mailed check,73.9,Yes
2265-CYWIV,4,Month-to-month,Electronic check,99.6,Yes
2311-QYMUQ,16,Month-to-month,Credit card (automatic),89.45,Yes
7598-UAASY,2,Month-to-month,Electronic check,76.4,Yes
4248-HCETZ,30,Month-to-month,Mailed check,79.65,Yes
8519-IMDHU,15,Month-to-month,Bank transfer (automatic),85.6,Yes
5233-GEEAX,8,Month-to-month,Electronic check,29.4,Yes
1086-LXKFY,1,Month-to-month,Mailed check,69.1,Yes
7517-SAWMO,19,Month-to-month,Electronic check,73.2,Yes
7273-TEFQD,3,Month-to-month,Electronic check,41.15,Yes
3988-RQIXO,1,Month-to-month,Electronic check,91.3,Yes
7253-UVNDW,46,Two year,Credit card (automatic),54.35,Yes
8185-UPYBR,6,Month-to-month,Electronic check,75.5,Yes
5027-XWQHA,6,Month-to-month,Electronic check,44.75,Yes
1095-JUDTC,47,Month-to-month,Electronic check,95.05,Yes
7359-SSBJK,64,Two year,Credit card (automatic),70.2,Yes
9170-CCKOU,17,Month-to-month,Credit card (automatic),90.2,Yes
9874-QLCLH,17,Month-to-month,Electronic check,104.2,Yes
5519-YLDGW,21,Month-to-month,Electronic check,103.9,Yes
9305-CDSKC,8,Month-to-month,Electronic check,99.65,Yes
2873-ZLIWT,40,Month-to-month,Electronic check,84.85,Yes
2833-SLKDQ,1,Month-to-month,Mailed check,45.05,Yes
9560-ARGQJ,16,Month-to-month,Electronic check,81.0,Yes
8361-LTMKD,4,Month-to-month,Mailed check,74.4,Yes
4342-HENTK,2,Month-to-month,Electronic check,70.65,Yes
5143-WMWOG,1,Month-to-month,Electronic check,19.95,Yes
6502-MJQAE,1,Month-to-month,Electronic check,69.6,Yes
0617-AQNWT,64,Two year,Electronic check,47.85,Yes
2519-FAKOD,38,Month-to-month,Bank transfer (automatic),99.25,Yes
5389-FFVKB,32,Month-to-month,Credit card (automatic),80.3,Yes
8019-ENHXU,42,Month-to-month,Electronic check,99.45,Yes
3737-GCSPV,11,Month-to-month,Credit card (automatic),96.2,Yes
4844-JJWUY,1,Month-to-month,Electronic check,86.0,Yes
8000-REIQB,1,Month-to-month,Electronic check,69.95,Yes
0576-WNXXC,27,Month-to-month,Electronic check,95.55,Yes
1567-DSCIC,8,Month-to-month,Electronic check,94.0,Yes
2754-XBHTB,9,Month-to-month,Bank transfer (automatic),77.65,Yes
5138-WVKYJ,10,Month-to-month,Electronic check,98.55,Yes
4919-IKATY,5,Month-to-month,Electronic check,84.5,Yes
9210-IAHGH,7,Month-to-month,Credit card (automatic),70.75,Yes
0032-PGELS,1,Month-to-month,Bank transfer (automatic),30.5,Yes
2325-ZUSFD,57,One year,Bank transfer (automatic),70.1,Yes
4140-MUHUG,3,Month-to-month,Electronic check,86.85,Yes
2011-TRQYE,18,Month-to-month,Credit card (automatic),33.5,Yes
8624-GIOUT,49,Month-to-month,Credit card (automatic),59.75,Yes
4236-XPXAV,5,Month-to-month,Mailed check,99.15,Yes
6467-CHFZW,47,Month-to-month,Electronic check,99.35,Yes
0748-RDGGM,70,One year,Bank transfer (automatic),109.5,Yes
4958-XCBDQ,35,Month-to-month,Electronic check,101.4,Yes
8718-PTMEZ,13,Month-to-month,Electronic check,31.05,Yes
5228-EXCET,13,Month-to-month,Electronic check,80.85,Yes
6457-USBER,1,Month-to-month,Electronic check,80.8,Yes
8280-MQRQN,1,Month-to-month,Mailed check,50.45,Yes
9809-IMGCQ,22,Month-to-month,Electronic check,96.7,Yes
